name,identity,address,city,state,postal_code,latitude,longitude
"""Universel""",Customer,"""359 Rue Sainte-Catherine O""",Montreal,QC,H3B 1A4,45.50613707,-73.56735796
"""Burger King""",Customer,"""500 Rue Sainte-Catherine O""",Montreal,QC,H3B 1A6,45.504193,-73.5683899
"""Ômai Prêt-à-Manger""",Customer,"""482 Rue Sainte-Catherine O""",Montreal,QC,H3B 1A6,45.50443531,-73.56851783
"""H&M""",Customer,"""450 St. Catherine W""",Montreal,QC,H3B 1A6,45.5051764,-73.5676526
"""Crazy Falafel""",Customer,"""521 Rue Sainte-Catherine W""",Montreal,QC,H3B 1A6,45.5045428,-73.5685214
"""Best Buy""",Customer,"""470 Rue Ste. Catherine O""",Montreal,QC,H3B 1A6,45.50479419,-73.56788971
"""Souvenirs Ephesus""",Customer,"""482 Rue Sainte-Catherine O""",Montreal,QC,H3B 1A6,45.504405,-73.5679752
"""Chennai Express""",Customer,"""521 Rue Sainte-Catherine""",Montreal,QC,H3B 1B2,45.504585,-73.568611
"""Fisshu""",Customer,"""537 Rue Sainte-Catherine O""",Montreal,QC,H3B 1B2,45.5044093,-73.5686413
"""Olly Fresco's""",Customer,"""624 Rue Saint-Catherine Ouest, Unit 1620""",Montreal,QC,H3B 1B7,45.5035416,-73.5694342
"""McDonald's""",Customer,"""625 Rue Sainte-Catherine O""",Montreal,QC,H3B 1B7,45.503861,-73.571346
"""Diamant Regent""",Customer,"""625 Rue Sainte-Catherine O, Unit 1380""",Montreal,QC,H3B 1B7,45.5036853,-73.56932537
"""Laprentania""",Customer,"""625 Rue Saint-Catherine O""",Montreal,QC,H3B 1B7,45.503756,-73.569529
"""Dahlia""",Customer,"""625 St Catherine W.""",Montreal,QC,H3B 1B7,45.5033603,-73.5694191
"""McDonald's""",Customer,"""640 Rue Sainte-Catherine O""",Montreal,QC,H3B 1B8,45.50327025,-73.56947473
"""Club Super Contact""",Customer,"""690A Rue Sainte-Catherine O""",Montreal,QC,H3B 1B9,45.5027272,-73.5700736
"""Kiehl's""",Customer,"""760, Rue Sainte-Catherine Ouest""",Montreal,QC,H3B 1B9,45.5021341,-73.5707362
"""Antoine Laoun Opticien""",Customer,"""700 Sainte-Catherine Rue W""",Montreal,QC,H3B 1B9,45.502593,-73.57025
"""Dorothy Esthetique""",Customer,"""1117 Rue Sainte-Catherine Ouest, Suite 220""",Montreal,QC,H3B 1B9,45.4998243,-73.5734885
"""Les 3 Brasseurs""",Customer,"""732 Rue Sainte-Catherine O""",Montreal,QC,H3B 1B9,45.50207172,-73.57076277
"""Five Guys""",Customer,"""698 Rue Sainte-Catherine O""",Montreal,QC,H3B 1B9,45.5025101,-73.5701189
"""Le Gym""",Customer,"""680 Rue Sainte-Catherine O, Suite 300""",Montreal,QC,H3B 1C2,45.5028241,-73.5698116
"""Reuben's""",Customer,"""888 Rue Sainte-Catherine O""",Montreal,QC,H3B 1E2,45.5014953,-73.5711382
"""Aveda""",Customer,"""880 Rue Sainte-Catherine O""",Montreal,QC,H3B 1E2,45.5016672,-73.5710824
"""Basha Restaurants""",Customer,"""930 Rue Sainte-Catherine O""",Montreal,QC,H3B 1E2,45.5013472,-73.5710996
"""Sports Experts""",Customer,"""930 Sainte-Catherine Rue W""",Montreal,QC,H3B 1E2,45.5013472,-73.5710996
"""Lunetterie New Look""",Customer,"""930 Sainte-Catherine Rue W""",Montreal,QC,H3B 1E2,45.5013472,-73.5710996
"""Jean Coutu""",Customer,"""980 Sainte-Catherine Rue W""",Montreal,QC,H3B 1E5,45.5006773,-73.5717794
"""American Eagle Outfitters""",Customer,"""1035 St Catherine St W""",Montreal,QC,H3B 1H1,45.5001407,-73.5728117
"""Off the Hook""",Customer,"""1021, Rue Sainte-Catherine Ouest""",Montreal,QC,H3B 1H1,45.5004082,-73.5727303
"""Roots - Centreville""",Customer,"""1025, rue Ste-Catharine Ouest""",Montreal,QC,H3B 1H1,45.5003339,-73.5728393
"""Medical Spa Pari""",Customer,"""1001 Ste Catherine O""",Montreal,QC,H3B 1H2,45.5006812,-73.5722763
"""Reuben's""",Customer,"""1116 Rue Sainte-Catherine Ouest""",Montreal,QC,H3B 1H4,45.4996504,-73.573167
"""Second Cup""",Customer,"""1122 Sainte-Catherine Rue W""",Montreal,QC,H3B 1H4,45.4995021,-73.5730679
"""Club 649""",Customer,"""1112 Street Catherine Street W""",Montreal,QC,H3B 1H4,45.4997186,-73.5730945
"""Saq""",Customer,"""1176, Rue Ste-Catherine W""",Montreal,QC,H3B 1H4,45.4989654,-73.5734131
"""Altérations Mike""",Customer,"""1118 Rue Sainte-Catherine O, Suite 200""",Montreal,QC,H3B 1H5,45.4996164,-73.5731044
"""La Senza""",Customer,"""1133, Rue Sainte-Catherine Ouest""",Montreal,QC,H3B 1H8,45.4995669,-73.5738082
