,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
13289,Frontier_Airline,"{'neg': 0.112, 'neu': 0.864, 'pos': 0.024, 'compound': -0.9299}",-0.9299,0,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13290,Frontier_Airline,"{'neg': 0.041, 'neu': 0.814, 'pos': 0.145, 'compound': 0.8967}",0.8967,2,['frontier_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13291,Frontier_Airline,"{'neg': 0.07, 'neu': 0.853, 'pos': 0.076, 'compound': 0.3939}",0.3939,2,['frontier_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13292,Frontier_Airline,"{'neg': 0.017, 'neu': 0.974, 'pos': 0.01, 'compound': -0.2263}",-0.2263,0,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13293,Frontier_Airline,"{'neg': 0.0, 'neu': 0.964, 'pos': 0.036, 'compound': 0.4939}",0.4939,2,['frontier_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13294,Frontier_Airline,"{'neg': 0.034, 'neu': 0.859, 'pos': 0.106, 'compound': 0.9122}",0.9122,2,"['frontier_airline', 'delta_airline']","['monetary_values', 'check-in_boarding', 'food_beverage']",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
13295,Frontier_Airline,"{'neg': 0.056, 'neu': 0.858, 'pos': 0.086, 'compound': 0.8128}",0.8128,2,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13296,Frontier_Airline,"{'neg': 0.093, 'neu': 0.851, 'pos': 0.056, 'compound': -0.5984}",-0.5984,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13297,Frontier_Airline,"{'neg': 0.098, 'neu': 0.859, 'pos': 0.043, 'compound': -0.797}",-0.797,0,['frontier_airline'],"['monetary_values', 'comfort', 'customer_service']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
13298,Frontier_Airline,"{'neg': 0.039, 'neu': 0.906, 'pos': 0.055, 'compound': 0.296}",0.296,2,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13299,Frontier_Airline,"{'neg': 0.1, 'neu': 0.756, 'pos': 0.144, 'compound': 0.8073}",0.8073,2,"['frontier_airline', 'united_airline']","['customer_service', 'check-in_boarding', 'monetary_values', 'comfort']",0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13300,Frontier_Airline,"{'neg': 0.211, 'neu': 0.742, 'pos': 0.047, 'compound': -0.9794}",-0.9794,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13301,Frontier_Airline,"{'neg': 0.038, 'neu': 0.951, 'pos': 0.011, 'compound': -0.4939}",-0.4939,0,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13302,Frontier_Airline,"{'neg': 0.072, 'neu': 0.826, 'pos': 0.101, 'compound': 0.666}",0.666,2,['frontier_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13303,Frontier_Airline,"{'neg': 0.23, 'neu': 0.77, 'pos': 0.0, 'compound': -0.9337}",-0.9337,0,['frontier_airline'],"['comfort', 'check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
13304,Frontier_Airline,"{'neg': 0.054, 'neu': 0.933, 'pos': 0.012, 'compound': -0.6157}",-0.6157,0,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13305,Frontier_Airline,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1,['frontier_airline'],['check-in_boarding'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13306,Frontier_Airline,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.8071}",-0.8071,0,['frontier_airline'],"['check-in_boarding', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
13307,Frontier_Airline,"{'neg': 0.116, 'neu': 0.781, 'pos': 0.103, 'compound': -0.4999}",-0.4999,0,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'food_beverage']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
13308,Frontier_Airline,"{'neg': 0.164, 'neu': 0.836, 'pos': 0.0, 'compound': -0.9442}",-0.9442,0,['frontier_airline'],['check-in_boarding'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13309,Frontier_Airline,"{'neg': 0.02, 'neu': 0.951, 'pos': 0.029, 'compound': 0.2481}",0.2481,2,['frontier_airline'],"['customer_service', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
13310,Frontier_Airline,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1,['frontier_airline'],['check-in_boarding'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13311,Frontier_Airline,"{'neg': 0.089, 'neu': 0.762, 'pos': 0.15, 'compound': 0.8904}",0.8904,2,['frontier_airline'],"['check-in_boarding', 'comfort', 'monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13312,Frontier_Airline,"{'neg': 0.215, 'neu': 0.734, 'pos': 0.052, 'compound': -0.9827}",-0.9827,0,['frontier_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13313,Frontier_Airline,"{'neg': 0.055, 'neu': 0.89, 'pos': 0.055, 'compound': 0.0}",0,1,['frontier_airline'],"['monetary_values', 'comfort', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
13314,Frontier_Airline,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8733}",0.8733,2,['frontier_airline'],[],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
