,Airline_Mentioned,Attribute_Mentioned
370,['delta_airline'],['monetary_values']
371,['delta_airline'],"['check-in_boarding', 'customer_service']"
372,['delta_airline'],"['check-in_boarding', 'comfort']"
373,['delta_airline'],['check-in_boarding']
374,['delta_airline'],['check-in_boarding']
375,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
376,['delta_airline'],"['monetary_values', 'check-in_boarding']"
377,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service']"
378,['delta_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
379,['delta_airline'],"['check-in_boarding', 'comfort']"
380,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
381,['delta_airline'],"['monetary_values', 'customer_service']"
382,['delta_airline'],"['monetary_values', 'customer_service']"
383,['delta_airline'],"['check-in_boarding', 'customer_service']"
384,['delta_airline'],"['check-in_boarding', 'customer_service', 'food_beverage', 'comfort']"
385,['delta_airline'],"['check-in_boarding', 'customer_service']"
386,['delta_airline'],"['check-in_boarding', 'comfort']"
387,"['delta_airline', 'united_airline']",['check-in_boarding']
388,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
389,['delta_airline'],['check-in_boarding']
390,"['delta_airline', 'southwest_airline']",['customer_service']
391,['delta_airline'],"['customer_service', 'check-in_boarding']"
392,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
393,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
394,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service', 'comfort']"
395,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
396,['delta_airline'],"['customer_service', 'monetary_values']"
397,['delta_airline'],"['check-in_boarding', 'monetary_values']"
398,['delta_airline'],"['monetary_values', 'check-in_boarding']"
399,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
400,['delta_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'customer_service']"
401,['delta_airline'],['check-in_boarding']
402,['delta_airline'],"['check-in_boarding', 'customer_service']"
403,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
404,['delta_airline'],"['check-in_boarding', 'customer_service']"
405,['delta_airline'],"['check-in_boarding', 'monetary_values']"
406,['delta_airline'],"['monetary_values', 'check-in_boarding']"
